id,name,city,contact,stream,mark1,mark2,mark3,mark4
1,Kynthia,Knivsta,468 395 8086,Analyst Programmer,43,25,62,65
2,Waiter,Zhangtan,684 701 7306,Chemical Engineer,24,74,17,31
3,Branden,Daluo,910 772 1668,Senior Cost Accountant,81,12,40,59
4,Camella,Rajkot,470 338 3404,Tax Accountant,15,87,52,87
5,Merrili,Russas,517 671 4838,Dental Hygienist,9,8,7,46
6,Haley,Borovichi,673 828 1741,Sales Representative,79,64,88,21
7,Eolanda,Galleh Manda,746 228 1049,Internal Auditor,43,45,24,38
8,Tam,Pijao,984 183 8257,VP Accounting,73,2,94,86
9,Biron,Rajkot,620 946 9394,Media Manager I,97,96,53,77
10,Alexine,Ube,374 972 2953,Mechanical Systems Engineer,95,49,49,32
11,Dedie,Charlotte,704 957 3647,Paralegal,21,46,55,81
12,Margery,Inanwatan,955 218 6870,Associate Professor,12,82,74,41
13,Matthew,Negreiros,790 481 6351,Administrative Officer,47,91,31,44
14,Andree,Cáº§n Giá»ù,580 197 9146,Research Associate,79,47,24,43
15,Garey,Rajkot,857 217 1390,Senior Editor,3,54,49,40
